,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3244,General debate,A_64_PV.10_E, 2009-09-26 ,Espot Miró,Andorra,Xavier  Espot Miró,AND,Minister for Foreign Affairs and Institutional Relations of the Principality of Andorra. Mr. Espot Miro (Andorra) (spoke in Catalan; English text provided by the delegation): I must first apologize for the absence of our head of Government
3245,General debate,A_64_PV.10_E, 2009-09-26 ,Cannon,Canada,Lawrence  Cannon,CAN,Minister for Foreign Affairs of Canada. Mr. Cannon (Canada) (spoke in French): 
3246,General debate,A_64_PV.10_E, 2009-09-26 ,Frick,Liechtenstein,Aurelia  Frick,LIE,Minister for Foreign Affairs
3247,General debate,A_64_PV.10_E, 2009-09-26 ,Bolkiah,Brunei Darussalam,Mohamed  Bolkiah,BRN,Minister of Foreign Affairs and Trade of Brunei Darussalam. Prince Bolkiah (Brunei Darussalam): I would like to congratulate the President on his election
3248,General debate,A_64_PV.10_E, 2009-09-26 ,Diaconescu,Romania, Cristian  Diaconescu,ROU,Minister for Foreign Affairs of Romania. Mr. Diaconescu (Romania) (spoke in French): At the outset
3249,General debate,A_64_PV.10_E, 2009-09-26 ,Jeleva,Bulgaria,Rumiana  Jeleva,BGR,Minister for Foreign Affairs of the Republic of Bulgaria. Mrs. Jeleva (Bulgaria): I am deeply honoured to address this audience on behalf of the Republic of Bulgaria. I would like to convey my delegations congratulations to Mr. Ali Treki on his assumption of the presidency of the General Assembly at its sixty- fourth session
3250,General debate,A_64_PV.10_E, 2009-09-26 ,Mesfin,Ethiopia,Seyoum  Mesfin,ETH,Minister for Foreign Affairs of the Federal Democratic Republic of Ethiopia. Mr. Mesfin (Ethiopia): It is indeed a great pleasure for me to extend my warmest congratulations to Mr. Ali Treki on his election to preside over the General Assembly at its sixty-fourth session. Permit me also to express my appreciation to the outgoing President for his effective leadership during the course of the previous session of the General Assembly. We are grateful to our Secretary-General
3251,General debate,A_64_PV.10_E, 2009-09-26 ,Martynov,Belarus,Sergei N.  Martynov,BLR,Minister for Foreign Affairs of the Republic of Belarus. Mr. Martynov (Belarus) (spoke in Russian): This General Assembly Hall is
3252,General debate,A_64_PV.10_E, 2009-09-26 ,Skarphedinsson,Iceland,Ossur  Skarphedinsson,ISL,Minister for Foreign Affairs and External Trade of Iceland. Mr. Skarpheðinsson (Iceland): It is indeed an honour for me to address this Assembly for the first time. I would like to start by congratulating His Excellency Mr. Ali Abdussalam Treki on his election to the presidency of the General Assembly at its sixty- fourth session
3253,General debate,A_64_PV.10_E, 2009-09-26 ,Krishna,India,S.M.  Krishna,IND,Minister for External Affairs of India. Mr. Krishna (India): I offer my congratulations to Mr. Treki on his assumption of the presidency of the General Assembly at its sixty-fourth session. My delegation assures him of our fullest cooperation during his stewardship of this Assembly
