,Unnamed: 0,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3755,3755,General debate,A_66_PV.11_E, 2011-09-21 ,Calmy-Rey,Switzerland,Micheline  Calmy-Rey,CHE,President of the Swiss Confederation 
3756,3756,General debate,A_66_PV.11_E, 2011-09-21 ,Ilves,Estonia,Toomas Hendrik  Ilves,EST,President of Estonia 
3757,3757,General debate,A_66_PV.11_E, 2011-09-21 ,Jonathan,Nigeria,Goodluck Ebele   Jonathan,NGA,President and Commander-in-Chief of the Armed Forces of the Federal Republic of Nigeria 
3758,3758,General debate,A_66_PV.11_E, 2011-09-21 ,Santos Calderón,Colombia,Juan Manuel  Santos Calderón,COL,President of the United Mexican States 
3759,3759,General debate,A_66_PV.11_E, 2011-09-21 ,Halonen,Finland,Tarja Kaarina  Halonen,FIN,President of the Republic of Finland 
3760,3760,General debate,A_66_PV.11_E, 2011-09-21 ,Abdullah II,Jordan,1962-   King of Jordan Abdullah II,JOR,Head of State of the Hashemite Kingdom of Jordan 
3761,3761,General debate,A_66_PV.11_E, 2011-09-21 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo,GNQ,President of the Republic of Equatorial Guinea 
3762,3762,General debate,A_66_PV.11_E, 2011-09-21 ,Lee,Republic of Korea,Myung-bak  Lee,KOR,President of the Republic of Korea 
3763,3763,General debate,A_66_PV.11_E, 2011-09-21 ,Sleiman,Lebanon,Michel   Sleiman,LBN,President of the Lebanese Republic 
3764,3764,General debate,A_66_PV.11_E, 2011-09-21 ,Fernández de Kirchner,Argentina,Cristina  Fernández de Kirchner,ARG,for example
3765,3765,General debate,A_66_PV.11_E, 2011-09-21 ,Sarkozy,France,Nicolas  Sarkozy,FRA,President of the French Republic 
3766,3766,General debate,A_66_PV.11_E, 2011-09-21 ,Nazarbaev,Kazakhstan,Nursultan  Nazarbaev,KAZ,President of the Republic of Kazakhstan 
