,Unnamed: 0,Unnamed: 0.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3902,3902,3902,General debate,A_67_PV.10_E, 2012-09-26 ,Banda,Malawi,Joyce Hilda Mtila  Banda,MWI,President of the Republic of Malawi
3903,3903,3903,General debate,A_67_PV.10_E, 2012-09-26 ,Ilves,Estonia,Toomas Hendrik  Ilves,EST,President of the Republic of Estonia
3904,3904,3904,General debate,A_67_PV.10_E, 2012-09-26 ,Timofti,Republic of Moldova,Nicolae  Timofti,MDA,President of the Republic of Moldova
3905,3905,3905,General debate,A_67_PV.10_E, 2012-09-26 ,Rajoelina,Madagascar,Andry Nirina  Rajoelina,MDG,President of the Transition of the Republic of Madagascar
3906,3906,3906,General debate,A_67_PV.10_E, 2012-09-26 ,Pérez Molina,Guatemala,Otto Fernando  Pérez Molina,GTM,President of the Republic of Guatemala
3907,3907,3907,General debate,A_67_PV.10_E, 2012-09-26 ,Santos Calderón,Colombia,Juan Manuel  Santos Calderón,COL,President of the Republic of Colombia
3889,3889,3889,General debate,A_67_PV.11_E, 2012-09-26 ,Gambi,Central African Republic,Antoine  Gambi,CAF,was escorted to the rostrum.
3890,3890,3890,General debate,A_67_PV.11_E, 2012-09-26 ,Moukoko Mbonjo,Cameroon,Pierre  Moukoko Mbonjo,CMR,Minister for External Relations of the Republic of Cameroon.Mr. Moukoko Mbonjo (Cameroon) (spoke in French): I speak on behalf of Mr. Paul Biya
3891,3891,3891,General debate,A_67_PV.11_E, 2012-09-26 ,Kablan Duncan,Côte d'Ivoire,Daniel   Kablan Duncan,CIV,Minister for Foreign Affairs of Cote dIvoire.Mr. Duncan (Cote dIvoire) (spoke in French): His Excellency Mr. Alassane Ouattara
3892,3892,3892,General debate,A_67_PV.11_E, 2012-09-26 ,Corlatean,Romania,Titus  Corlatean,ROU,Minister for Foreign Affairs of Romania.Mr. Corlatean (Romania) (spoke in French): 
3893,3893,3893,General debate,A_67_PV.11_E, 2012-09-26 ,Bazoum,Niger,Mohamed  Bazoum,NER,Minister of State for Foreign Affairs
3894,3894,3894,General debate,A_67_PV.11_E, 2012-09-26 ,Diarra,Mali,Cheick Mohamed Abdoulaye Souad dit Modibo  Diarra,MLI,Prime Minister of the Republic of Mali
3895,3895,3895,General debate,A_67_PV.11_E, 2012-09-26 ,Di Rupo,Belgium,Elio  Di Rupo,BEL,Prime Minister of the Kingdom of Belgium
3896,3896,3896,General debate,A_67_PV.11_E, 2012-09-26 ,Njie-Saidy,Gambia,Aja Isatou  Njie-Saidy,GMB,Vice-President and Minister for Womens Affairs of the Republic of the Gambia
3897,3897,3897,General debate,A_67_PV.11_E, 2012-09-26 ,Morales Ayma,Bolivia,Evo  Morales Ayma,BOL,Constitutional President of the Plurinational State of Bolivia
3898,3898,3898,General debate,A_67_PV.11_E, 2012-09-26 ,Berzins,Latvia,Andris  Berzins,LVA,President of the Republic of Latvia
3899,3899,3899,General debate,A_67_PV.11_E, 2012-09-26 ,Martelly,Haiti,Michel Joseph  Martelly,HTI,President of the Republic of Haiti
3900,3900,3900,General debate,A_67_PV.11_E, 2012-09-26 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe
