,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4292,4292,4292,4292,4292,General debate,A_69_PV.10_E, 2014-09-25 ,Áder,Hungary,János  Áder,HUN,President of Hungary
4293,4293,4293,4293,4293,General debate,A_69_PV.10_E, 2014-09-25 ,Nishani,Albania,Bujar  Nishani,ALB,President of the Republic of Albania
4294,4294,4294,4294,4294,General debate,A_69_PV.10_E, 2014-09-25 ,Plevneliev,Bulgaria,Rosen  Plevneliev,BGR,President of the Republic of Bulgaria
4295,4295,4295,4295,4295,General debate,A_69_PV.10_E, 2014-09-25 ,Kabila Kabange,Democratic Republic of the Congo,Joseph  Kabila Kabange,COD,President of the Democratic Republic of the Congo
4296,4296,4296,4296,4296,General debate,A_69_PV.10_E, 2014-09-25 ,Varela Rodríguez,Panama,Juan Carlos  Varela Rodríguez,PAN,President of the Republic of Panama
4297,4297,4297,4297,4297,General debate,A_69_PV.10_E, 2014-09-25 ,Bongo Ondimba,Gabon,Ali  Bongo Ondimba,GAB,President of the Gabonese Republic
4298,4298,4298,4298,4298,General debate,A_69_PV.10_E, 2014-09-25 ,Berzins,Latvia,Andris  Berzins,LVA,President of the Republic of Latvia
4299,4299,4299,4299,4299,General debate,A_69_PV.10_E, 2014-09-25 ,Komorowski,Poland,Bronislaw  Komorowski,POL,President of the Republic of Poland
4300,4300,4300,4300,4300,General debate,A_69_PV.10_E, 2014-09-25 ,Jammeh,Gambia,A.J.J.  Jammeh,GMB,President of the Republic of the Gambia
4279,4279,4279,4279,4279,General debate,A_69_PV.11_E, 2014-09-25 ,Ndiaye,Senegal,Mankeur  Ndiaye,SEN,Minister for Foreign Affairs and for Senegalese Living Abroad of the Republic of Senegal.Mr. Ndiaye (Senegal) (spoke in French): I particularly welcome the opportunity today to represent His Excellency Mr. Macky Sall
4280,4280,4280,4280,4280,General debate,A_69_PV.11_E, 2014-09-25 ,Moukoko Mbonjo,Cameroon,Pierre  Moukoko Mbonjo,CMR,Minister for Foreign Affairs of the Republic of Cameroon.Mr. Moukoko Mbonjo (Cameroon) (spoke in French): 
4281,4281,4281,4281,4281,General debate,A_69_PV.11_E, 2014-09-25 ,Gherman,Republic of Moldova,Natalia  Gherman,MDA,Deputy Prime Minister and Minister for Foreign Affairs and European Integration of the Republic of Moldova.Ms. Gherman (Republic of Moldova): It is with great honour and a special sense of responsibility that I address the General Assembly today. My country has chosen a European future
