,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4536,4536,4536,4536,4536,4536,General debate,A_70_PV.13_E, 2015-09-28 ,Desalegn,Ethiopia,Hailemariam  Desalegn,ETH,Prime Minister of the Federal Democratic Republic of Ethiopia
4537,4537,4537,4537,4537,4537,General debate,A_70_PV.13_E, 2015-09-28 ,Lokke Rasmussen,Denmark,Lars  Lokke Rasmussen,DNK,Prime Minister of Denmark
4538,4538,4538,4538,4538,4538,General debate,A_70_PV.13_E, 2015-09-28 ,Silva,Portugal,Aníbal António Cavaco  Silva,PRT,President of the Republic of Portugal
4539,4539,4539,4539,4539,4539,General debate,A_70_PV.13_E, 2015-09-28 ,Peña Nieto,Mexico,Enrique  Peña Nieto,MEX,President of the United Mexican States
4540,4540,4540,4540,4540,4540,General debate,A_70_PV.13_E, 2015-09-28 ,Nazarbaev,Kazakhstan,Nursultan  Nazarbaev,KAZ,President of the Republic of Kazakhstan
4541,4541,4541,4541,4541,4541,General debate,A_70_PV.13_E, 2015-09-28 ,Willem-Alexander,Netherlands,King of the Netherlands  Willem-Alexander,NLD,King of the Kingdom of the Netherlands
4542,4542,4542,4542,4542,4542,General debate,A_70_PV.13_E, 2015-09-28 ,Nyusi,Mozambique,Filipe Jacinto  Nyusi,MOZ,President of the Republic of Mozambique
4543,4543,4543,4543,4543,4543,General debate,A_70_PV.13_E, 2015-09-28 ,Hollande,France,François  Hollande,FRA,President of the French Republic
4544,4544,4544,4544,4544,4544,General debate,A_70_PV.13_E, 2015-09-28 ,Al-Thani,Qatar,Sheikh   Tamim bin Hamad Al-Thani,QAT,Amir of the State of Qatar
4545,4545,4545,4545,4545,4545,General debate,A_70_PV.13_E, 2015-09-28 ,Rouhani,Iran,Hassan  Rouhani,IRN,President of the Islamic Republic of Iran
4546,4546,4546,4546,4546,4546,General debate,A_70_PV.13_E, 2015-09-28 ,Park,Republic of Korea,Geun-Hye  Park,KOR,President of the Republic of Korea
4547,4547,4547,4547,4547,4547,General debate,A_70_PV.13_E, 2015-09-28 ,Putin,Russian Federation,Vladimir Vladimirovich  Putin,RUS,President of the Russian Federation
4548,4548,4548,4548,4548,4548,General debate,A_70_PV.13_E, 2015-09-28 ,Abdullah II,Jordan,1962-   King of Jordan Abdullah II,JOR,“Peace and international law are closely linked to each other; law favours peace”. Unfortunately
4549,4549,4549,4549,4549,4549,General debate,A_70_PV.13_E, 2015-09-28 ,Xi,China,Jinping  Xi,CHN,President of the Peoples Republic of China
4550,4550,4550,4550,4550,4550,General debate,A_70_PV.13_E, 2015-09-28 ,Duda,Poland,Andrzej  Duda,POL,President of the Republic of Poland
4551,4551,4551,4551,4551,4551,General debate,A_70_PV.13_E, 2015-09-28 ,Obama,United States,Barack  Obama,USA,President of the United States of America
4552,4552,4552,4552,4552,4552,General debate,A_70_PV.13_E, 2015-09-28 ,Rousseff,Brazil,Dilma  Rousseff,BRA,President of the Federative Republic of Brazil
4553,4553,4553,4553,4553,4553,General debate,A_70_PV.13_E, 2015-09-28 ,Lykketoft,UN,Mogens  Lykketoft,UN,on his election to that honourable office. I wish to assure you
4528,4528,4528,4528,4528,4528,General debate,A_70_PV.14_E, 2015-09-28 ,Fernández de Kirchner,Argentina,Cristina  Fernández de Kirchner,ARG,trade
4529,4529,4529,4529,4529,4529,General debate,A_70_PV.14_E, 2015-09-28 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe
4530,4530,4530,4530,4530,4530,General debate,A_70_PV.14_E, 2015-09-28 ,Sommaruga,Switzerland,Simonetta  Sommaruga,CHE,President of the Swiss Confederation
4531,4531,4531,4531,4531,4531,General debate,A_70_PV.14_E, 2015-09-28 ,Al-Sisi,Egypt,Abdel Fattah  Al-Sisi,EGY,President of the Arab Republic of Egypt
