,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4653,General debate,A_71_PV.10_E, 2016-09-20 ,Renzi,Italy,Matteo  Renzi,ITA,President of the Council of Ministers of the Republic of Italy 
4654,General debate,A_71_PV.10_E, 2016-09-20 ,Key,New Zealand,John  Key,NZL,Prime Minister of New Zealand 
4655,General debate,A_71_PV.10_E, 2016-09-20 ,Sall,Senegal,Macky  Sall,SEN,President of the Republic of Senegal 
4656,General debate,A_71_PV.10_E, 2016-09-20 ,Tsakhia,Mongolia,Elbegdorj  Tsakhia,MNG,President of Mongolia 
4657,General debate,A_71_PV.10_E, 2016-09-20 ,Solís Rivera,Costa Rica,Luis Guillermo  Solís Rivera,CRI,President of the Republic of Costa Rica 
4658,General debate,A_71_PV.10_E, 2016-09-20 ,Varela Rodríguez,Panama,Juan Carlos  Varela Rodríguez,PAN,President of the Republic of Panama 
4659,General debate,A_71_PV.10_E, 2016-09-20 ,Lungu,Zambia,Edgar Chagwa  Lungu,ZMB,President of the Republic of Zambia 
4660,General debate,A_71_PV.10_E, 2016-09-20 ,Don Felipe VI,Spain,King of Spain  Don Felipe VI,ESP,King of the Kingdom of Spain 
4661,General debate,A_71_PV.10_E, 2016-09-20 ,Peña Nieto,Mexico,Enrique  Peña Nieto,MEX,President of the United Mexican States 
4662,General debate,A_71_PV.10_E, 2016-09-20 ,Rebelo de Sousa,Portugal,Marcelo  Rebelo de Sousa,PRT,Mr. Zamora Rivas (El Salvador)
4637,General debate,A_71_PV.11_E, 2016-09-21 ,Abe,Japan,Shinzo  Abe,JPN,Prime Minister of Japan 
4638,General debate,A_71_PV.11_E, 2016-09-21 ,Dukanovic,Montenegro,Milo  Dukanovic,MNE,Prime Minister of Montenegro 
4639,General debate,A_71_PV.11_E, 2016-09-21 ,Aung San Suu Kyi (Myanmar. State Counsellor),Myanmar,ung San Suu Kyi ,MMR,President of the Republic of Colombia 
4640,General debate,A_71_PV.11_E, 2016-09-21 ,Sharif,Pakistan,Muhammad Nawaz  Sharif,PAK,Prime Minister of the Islamic Republic of Pakistan 
4641,General debate,A_71_PV.11_E, 2016-09-21 ,Al Sabah,Kuwait,Jaber Al Mubarak Al Hamad  Al Sabah,KWT,Prime Minister of the State of Kuwait 
4642,General debate,A_71_PV.11_E, 2016-09-21 ,Mohammed,Saudi Arabia,Prince of Saudi Arabia  Mohammed,SAU,
4643,General debate,A_71_PV.11_E, 2016-09-21 ,Ruto,Kenya,William Samoei  Ruto,KEN,Vice-President of the Republic of Kenya 
4644,General debate,A_71_PV.11_E, 2016-09-21 ,Poroshenko,Ukraine,Petro  Poroshenko,UKR,President of Ukraine 
4645,General debate,A_71_PV.11_E, 2016-09-21 ,Danesh,Afghanistan,Sarwar  Danesh,AFG,Vice-President of the Islamic Republic of Afghanistan 
4646,General debate,A_71_PV.11_E, 2016-09-21 ,Mahama,Ghana,John Dramani   Mahama,GHA,President of the Republic of Ghana 
4647,General debate,A_71_PV.11_E, 2016-09-21 ,Santos Calderón,Colombia,Juan Manuel  Santos Calderón,COL,President of the Republic of Colombia 
4648,General debate,A_71_PV.11_E, 2016-09-21 ,Li,China,Keqiang  Li,CHN,Premier of the State Council of the Peoples Republic of China 
