speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position,similarity_score,word_count_diff
General debate,A_47_PV.11_E, 1992-09-24 ,Gassymov,Azerbaijan,T.  Gassymov,AZE,New York,0.9809417941052757,25993
General debate,A_47_PV.11_E, 1992-09-24 ,Kijiner,Marshall Islands,Tom  Kijiner,MHL,,0.9612075755480011,29689
General debate,A_47_PV.11_E, 1992-09-24 ,Lumbi Okongo,Zaire,P.  Lumbi Okongo,COD,and incorporated in a copy of the record. 1352-53V (E) Ka-z) Address by Mr. Milan Kucan,0.9710963287531998,28955
General debate,A_47_PV.11_E, 1992-09-24 ,Tavernas-Guzman,Dominican Republic,Juan Aristides  Tavernas-Guzman,DOM,Dominican Republic) ,0.9787234353895399,28627
General debate,A_47_PV.11_E, 1992-09-24 ,Papaconstantinou,Greece,Michael  Papaconstantinou,GRC,,0.9909314982760179,26337
General debate,A_47_PV.11_E, 1992-09-24 ,Bolger,New Zealand,James Brendan  Bolger,NZL,Prime Minister of New Zealand Statements made by Mr. Papaconstantinou (Greece) Mr. Taveras Guzman (Dominican Republic) Mr. Lumbi Okongo (Zaire) Mr. Kijiner (Marshall Islands) Mr. Gassymov (Azerbaijan) Appointments to fill vacancies in subsidiary organs and other appointments [17] (a) Appointment of members of the Advisory Committee on Administrative and Budgetary Questions: report of the Fifth Committee (Part I) 2 ,BUG,BUG
General debate,A_47_PV.11_E, 1992-09-24 ,Claes,Belgium,Willy  Claes,BEL,,0.9746653257803697,28304
General debate,A_47_PV.11_E, 1992-09-24 ,Al-Sabah,Kuwait,S.A.J.  Al-Sabah,KWT,,0.9812318921094605,27658
General debate,A_47_PV.11_E, 1992-09-24 ,Ajodhia,Suriname,J.R.  Ajodhia,SUR,Vice-President of the Republic of Suriname Statements made by Sheikh Salem Sabah Al-Salem Al-Sabah (Kuwait) Mr. Claes (Belgium) Address by Mr. James Brendan Bolger,BUG,BUG
General debate,A_47_PV.11_E, 1992-09-24 ,Kucan,Slovenia,Milan  Kucan,SVN,President of the presidency of the Republic of Slovenia General debate [9] (continued) Address by Mr. Jules Rattankoemar Ajodhia,BUG,BUG
General debate,A_47_PV.13_E, 1992-09-25 ,Mocumbi,Mozambique,P.  Mocumbi,MOZ,President of Mongolia General debate [9] (continued) Statements made by Mr. Solana Madariaga (Spain) Mr. Faleiro (India) Mr. Cetin (Turkey) This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9882260145062675,26430
General debate,A_47_PV.13_E, 1992-09-25 ,Poos,Luxembourg,Jacques F.  Poos,LUX,,0.9801480043976002,27394
General debate,A_47_PV.13_E, 1992-09-25 ,Dlamini,Swaziland,O.M.  Dlamini,SWZ,Prime Minister of the Kingdom of Swaziland Statements made by Mr. Poos (Luxembourg) Mr. Mocumbi (Mozambique) Adoption of the agenda and organization of work: note by the Secretary-General [8] (continued) 2 ,BUG,BUG
General debate,A_47_PV.13_E, 1992-09-25 ,Hannibalsson,Iceland,J.B.  Hannibalsson,ISL,,0.979383607586131,27594
General debate,A_47_PV.13_E, 1992-09-25 ,Abdullah,Oman,Y.  Abdullah,OMN,on Friday,0.9820882097953361,27563
General debate,A_47_PV.13_E, 1992-09-25 ,Andrews,Ireland,D.  Andrews,IRL,2 United Nations Plaza,0.9776546592858113,27216
General debate,A_47_PV.13_E, 1992-09-25 ,Cetin,Turkey,H.  Cetin,TUR,New York,0.9833566031577518,27235
General debate,A_47_PV.13_E, 1992-09-25 ,Faleiro,India,E.  Faleiro,IND,New York,0.9778857047210346,27549
General debate,A_47_PV.13_E, 1992-09-25 ,Solana,Spain,Javier  Solana,ESP,whose diplomatic experience 92 (Mr. Dlamini. Swaziland) and dynamic leadership contributed so much to the re-emergence of the United Nations as the only international institution with the influence to improve social,0.9890851828609942,26200
General debate,A_47_PV.13_E, 1992-09-25 ,Ochirbat,Mongolia,P.  Ochirbat,MNG,President of Mongolia General debate [9] (continued) Statements made by Mr. Solana Madariaga (Spain) Mr. Faleiro (India) Mr. Cetin (Turkey) This record contains the original text of speeches delivered in English and interpretations of speeches in the other languages. ,0.9796717354208748,27614
General debate,A_47_PV.15_E, 1992-09-28 ,Evans,Australia,G.  Evans,AUS,New York,0.9791420560588653,23347
General debate,A_47_PV.15_E, 1992-09-28 ,Adam,Sudan,H.  Adam,SDN,New York,0.979422577473616,24118
General debate,A_47_PV.15_E, 1992-09-28 ,Niehaus-Quesada,Costa Rica,Bernd  Niehaus-Quesada,CRI,Cuba) ,0.9810596228735561,24795
General debate,A_47_PV.15_E, 1992-09-28 ,Holo,Benin,T.  Holo,BEN,"Benin) of social injustice and because of extreme poverty that dehumanize so many peoples that are referred to as ""developing peoples"". To all these ills",0.9868916777449285,23343
General debate,A_47_PV.15_E, 1992-09-28 ,Wong,Singapore,Kan Seng  Wong,SGP,,0.9594580698225548,25844
General debate,A_47_PV.15_E, 1992-09-28 ,Alarcon Quesada,Cuba,Ricardo  Alarcon Quesada,CUB,Cuba) ,0.9782395987912356,23791
General debate,A_47_PV.15_E, 1992-09-28 ,Chambas,Ghana,Mohamed Ibn  Chambas,GHA,Ghana) accomplished diplomat. We renew our pledge to support him in his difficult and delicate task. My delegation would also like to take this opportunity to extend a warm welcome to the new Member States,0.9884852303692943,23775
